fam.names,LvlOne,LvlTwo
CBM11,Carbohydrate-Binding Module,CBM11
CBM12,Carbohydrate-Binding Module,CBM12
CBM13,Carbohydrate-Binding Module,CBM13
CBM14,Carbohydrate-Binding Module,CBM14
CBM16,Carbohydrate-Binding Module,CBM16
CBM2,Carbohydrate-Binding Module,CBM2
CBM20,Carbohydrate-Binding Module,CBM20
CBM22,Carbohydrate-Binding Module,CBM22
CBM23,Carbohydrate-Binding Module,CBM23
CBM25,Carbohydrate-Binding Module,CBM25
CBM26,Carbohydrate-Binding Module,CBM26
CBM27,Carbohydrate-Binding Module,CBM27
CBM28,Carbohydrate-Binding Module,CBM28
CBM3,Carbohydrate-Binding Module,CBM3
CBM30,Carbohydrate-Binding Module,CBM30
CBM32,Carbohydrate-Binding Module,CBM32
CBM34,Carbohydrate-Binding Module,CBM34
CBM35,Carbohydrate-Binding Module,CBM35
CBM36,Carbohydrate-Binding Module,CBM36
CBM37,Carbohydrate-Binding Module,CBM37
CBM38,Carbohydrate-Binding Module,CBM38
CBM39,Carbohydrate-Binding Module,CBM39
CBM4,Carbohydrate-Binding Module,CBM4
CBM40,Carbohydrate-Binding Module,CBM40
CBM41,Carbohydrate-Binding Module,CBM41
CBM42,Carbohydrate-Binding Module,CBM42
CBM44,Carbohydrate-Binding Module,CBM44
CBM46,Carbohydrate-Binding Module,CBM46
CBM47,Carbohydrate-Binding Module,CBM47
CBM48,Carbohydrate-Binding Module,CBM48
CBM49,Carbohydrate-Binding Module,CBM49
CBM5,Carbohydrate-Binding Module,CBM5
CBM50,Carbohydrate-Binding Module,CBM50
CBM51,Carbohydrate-Binding Module,CBM51
CBM53,Carbohydrate-Binding Module,CBM53
CBM54,Carbohydrate-Binding Module,CBM54
CBM56,Carbohydrate-Binding Module,CBM56
CBM57,Carbohydrate-Binding Module,CBM57
CBM58,Carbohydrate-Binding Module,CBM58
CBM6,Carbohydrate-Binding Module,CBM6
CBM61,Carbohydrate-Binding Module,CBM61
CBM62,Carbohydrate-Binding Module,CBM62
CBM63,Carbohydrate-Binding Module,CBM63
CBM64,Carbohydrate-Binding Module,CBM64
CBM65,Carbohydrate-Binding Module,CBM65
CBM66,Carbohydrate-Binding Module,CBM66
CBM67,Carbohydrate-Binding Module,CBM67
CBM68,Carbohydrate-Binding Module,CBM68
CBM69,Carbohydrate-Binding Module,CBM69
CBM70,Carbohydrate-Binding Module,CBM70
CBM72,Carbohydrate-Binding Module,CBM72
CBM74,Carbohydrate-Binding Module,CBM74
CBM75,Carbohydrate-Binding Module,CBM75
CBM76,Carbohydrate-Binding Module,CBM76
CBM77,Carbohydrate-Binding Module,CBM77
CBM78,Carbohydrate-Binding Module,CBM78
CBM79,Carbohydrate-Binding Module,CBM79
CBM8,Carbohydrate-Binding Module,CBM8
CBM80,Carbohydrate-Binding Module,CBM80
CBM9,Carbohydrate-Binding Module,CBM9
CE1,Carbohydrate Esterase,CE1
CE10,Carbohydrate Esterase,CE10
CE11,Carbohydrate Esterase,CE11
CE12,Carbohydrate Esterase,CE12
CE13,Carbohydrate Esterase,CE13
CE14,Carbohydrate Esterase,CE14
CE15,Carbohydrate Esterase,CE15
CE2,Carbohydrate Esterase,CE2
CE3,Carbohydrate Esterase,CE3
CE4,Carbohydrate Esterase,CE4
CE5,Carbohydrate Esterase,CE5
CE6,Carbohydrate Esterase,CE6
CE7,Carbohydrate Esterase,CE7
CE8,Carbohydrate Esterase,CE8
CE9,Carbohydrate Esterase,CE9
GH1,Glycoside Hydrolase,GH1
GH10,Glycoside Hydrolase,GH10
GH101,Glycoside Hydrolase,GH101
GH102,Glycoside Hydrolase,GH102
GH103,Glycoside Hydrolase,GH103
GH105,Glycoside Hydrolase,GH105
GH106,Glycoside Hydrolase,GH106
GH108,Glycoside Hydrolase,GH108
GH109,Glycoside Hydrolase,GH109
GH11,Glycoside Hydrolase,GH11
GH110,Glycoside Hydrolase,GH110
GH112,Glycoside Hydrolase,GH112
GH113,Glycoside Hydrolase,GH113
GH114,Glycoside Hydrolase,GH114
GH115,Glycoside Hydrolase,GH115
GH116,Glycoside Hydrolase,GH116
GH117,Glycoside Hydrolase,GH117
GH119,Glycoside Hydrolase,GH119
GH120,Glycoside Hydrolase,GH120
GH121,Glycoside Hydrolase,GH121
GH123,Glycoside Hydrolase,GH123
GH124,Glycoside Hydrolase,GH124
GH125,Glycoside Hydrolase,GH125
GH126,Glycoside Hydrolase,GH126
GH127,Glycoside Hydrolase,GH127
GH128,Glycoside Hydrolase,GH128
GH129,Glycoside Hydrolase,GH129
GH13,Glycoside Hydrolase,GH13
GH130,Glycoside Hydrolase,GH130
GH133,Glycoside Hydrolase,GH133
GH136,Glycoside Hydrolase,GH136
GH137,Glycoside Hydrolase,GH137
GH138,Glycoside Hydrolase,GH138
GH139,Glycoside Hydrolase,GH139
GH14,Glycoside Hydrolase,GH14
GH140,Glycoside Hydrolase,GH140
GH141,Glycoside Hydrolase,GH141
GH142,Glycoside Hydrolase,GH142
GH143,Glycoside Hydrolase,GH143
GH144,Glycoside Hydrolase,GH144
GH145,Glycoside Hydrolase,GH145
GH15,Glycoside Hydrolase,GH15
GH16,Glycoside Hydrolase,GH16
GH17,Glycoside Hydrolase,GH17
GH18,Glycoside Hydrolase,GH18
GH19,Glycoside Hydrolase,GH19
GH2,Glycoside Hydrolase,GH2
GH20,Glycoside Hydrolase,GH20
GH23,Glycoside Hydrolase,GH23
GH24,Glycoside Hydrolase,GH24
GH25,Glycoside Hydrolase,GH25
GH26,Glycoside Hydrolase,GH26
GH27,Glycoside Hydrolase,GH27
GH28,Glycoside Hydrolase,GH28
GH29,Glycoside Hydrolase,GH29
GH3,Glycoside Hydrolase,GH3
GH30,Glycoside Hydrolase,GH30
GH31,Glycoside Hydrolase,GH31
GH32,Glycoside Hydrolase,GH32
GH33,Glycoside Hydrolase,GH33
GH34,Glycoside Hydrolase,GH34
GH35,Glycoside Hydrolase,GH35
GH36,Glycoside Hydrolase,GH36
GH37,Glycoside Hydrolase,GH37
GH38,Glycoside Hydrolase,GH38
GH39,Glycoside Hydrolase,GH39
GH4,Glycoside Hydrolase,GH4
GH42,Glycoside Hydrolase,GH42
GH43,Glycoside Hydrolase,GH43
GH44,Glycoside Hydrolase,GH44
GH46,Glycoside Hydrolase,GH46
GH47,Glycoside Hydrolase,GH47
GH48,Glycoside Hydrolase,GH48
GH49,Glycoside Hydrolase,GH49
GH5,Glycoside Hydrolase,GH5
GH50,Glycoside Hydrolase,GH50
GH51,Glycoside Hydrolase,GH51
GH52,Glycoside Hydrolase,GH52
GH53,Glycoside Hydrolase,GH53
GH55,Glycoside Hydrolase,GH55
GH57,Glycoside Hydrolase,GH57
GH59,Glycoside Hydrolase,GH59
GH63,Glycoside Hydrolase,GH63
GH64,Glycoside Hydrolase,GH64
GH65,Glycoside Hydrolase,GH65
GH66,Glycoside Hydrolase,GH66
GH67,Glycoside Hydrolase,GH67
GH70,Glycoside Hydrolase,GH70
GH72,Glycoside Hydrolase,GH72
GH73,Glycoside Hydrolase,GH73
GH74,Glycoside Hydrolase,GH74
GH75,Glycoside Hydrolase,GH75
GH76,Glycoside Hydrolase,GH76
GH77,Glycoside Hydrolase,GH77
GH78,Glycoside Hydrolase,GH78
GH79,Glycoside Hydrolase,GH79
GH8,Glycoside Hydrolase,GH8
GH81,Glycoside Hydrolase,GH81
GH82,Glycoside Hydrolase,GH82
GH84,Glycoside Hydrolase,GH84
GH85,Glycoside Hydrolase,GH85
GH87,Glycoside Hydrolase,GH87
GH88,Glycoside Hydrolase,GH88
GH89,Glycoside Hydrolase,GH89
GH9,Glycoside Hydrolase,GH9
GH91,Glycoside Hydrolase,GH91
GH92,Glycoside Hydrolase,GH92
GH93,Glycoside Hydrolase,GH93
GH94,Glycoside Hydrolase,GH94
GH95,Glycoside Hydrolase,GH95
GH97,Glycoside Hydrolase,GH97
GH98,Glycoside Hydrolase,GH98
GH99,Glycoside Hydrolase,GH99
PL1,Polysaccharide Lyase,PL1
PL10,Polysaccharide Lyase,PL10
PL11,Polysaccharide Lyase,PL11
PL12,Polysaccharide Lyase,PL12
PL13,Polysaccharide Lyase,PL13
PL14,Polysaccharide Lyase,PL14
PL15,Polysaccharide Lyase,PL15
PL16,Polysaccharide Lyase,PL16
PL17,Polysaccharide Lyase,PL17
PL18,Polysaccharide Lyase,PL18
PL2,Polysaccharide Lyase,PL2
PL21,Polysaccharide Lyase,PL21
PL22,Polysaccharide Lyase,PL22
PL25,Polysaccharide Lyase,PL25
PL26,Polysaccharide Lyase,PL26
PL27,Polysaccharide Lyase,PL27
PL3,Polysaccharide Lyase,PL3
PL4,Polysaccharide Lyase,PL4
PL5,Polysaccharide Lyase,PL5
PL6,Polysaccharide Lyase,PL6
PL8,Polysaccharide Lyase,PL8
PL9,Polysaccharide Lyase,PL9
